央视频道,#genre#
CCTV12,http://123.174.106.11:8888/udp/239.1.1.19:8019
CCTV12,http://1.70.34.15:8085/udp/239.1.1.19:8019
CCTV12,http://180.158.201.25:2048/udp/239.45.3.10:5140
CCTV12,http://113.109.250.162:9999/udp/239.77.1.109:5146
CCTV12,http://113.109.250.162:9999/udp/239.77.1.170:5146
CCTV12,http://113.109.250.162:9999/udp/239.77.0.136:5146
CCTV12,http://222.70.145.55:10010/udp/239.45.3.10:5140
CCTV13,http://202.99.141.84:8686/rtp/239.253.92.13:8008
CCTV13,http://123.174.106.11:8888/udp/239.1.1.20:8020
CCTV13,http://1.70.34.15:8085/udp/239.1.1.20:8020
CCTV13,http://180.158.201.25:2048/udp/239.45.1.198:5140
CCTV13,http://113.109.250.162:9999/udp/239.77.0.188:5146
CCTV13,http://113.109.250.162:9999/udp/239.253.43.196:5146
CCTV13,http://222.70.145.55:10010/udp/239.45.1.198:5140
CCTV14,http://202.99.141.84:8686/rtp/239.253.92.198:6063
CCTV14,http://123.174.106.11:8888/udp/239.1.1.21:8021
CCTV14,http://1.70.34.15:8085/udp/239.1.1.21:8021
CCTV14,http://180.158.201.25:2048/udp/239.45.3.23:5140
CCTV14,http://113.109.250.162:9999/udp/239.77.1.161:5146
CCTV14,http://113.109.250.162:9999/udp/239.77.1.171:5146
CCTV14,http://113.109.250.162:9999/udp/239.77.0.133:5146
CCTV14,http://222.70.145.55:10010/udp/239.45.3.23:5140
CCTV15,http://202.99.141.84:8686/rtp/239.253.93.154:6322
CCTV15,http://123.174.106.11:8888/udp/239.1.1.22:8022
CCTV15,http://1.70.34.15:8085/udp/239.1.1.22:8022
CCTV15,http://180.158.201.25:2048/udp/239.45.1.200:5140
CCTV15,http://113.109.250.162:9999/udp/239.77.1.239:5146
CCTV15,http://222.70.145.55:10010/udp/239.45.1.200:5140
CCTV16,http://123.174.106.11:8888/udp/239.1.1.122:8122
CCTV16,http://1.70.34.15:8085/udp/239.1.1.122:8122
CCTV16,http://113.109.250.162:9999/udp/239.77.0.165:5146
CCTV16,http://113.109.250.162:9999/udp/239.77.1.76:5146
CCTV17,http://202.99.141.84:8686/rtp/239.253.93.150:6318
CCTV17,http://123.174.106.11:8888/udp/239.1.1.23:8023
CCTV17,http://1.70.34.15:8085/udp/239.1.1.23:8023
CCTV17,http://180.158.201.25:2048/udp/239.45.3.52:5140
CCTV17,http://113.109.250.162:9999/udp/239.77.1.121:5146
CCTV17,http://222.70.145.55:10010/udp/239.45.3.52:5140
CCTV164K,http://113.109.250.162:9999/udp/239.77.1.98:5146
CCTVCCTV世界地理,http://123.174.106.11:8888/udp/239.1.1.99:8099
CCTVCCTV世界地理,http://1.70.34.15:8085/udp/239.1.1.99:8099
CCTV世界地理,http://202.99.141.84:8686/rtp/239.253.92.113:8066
CCTV世界地理,http://202.99.141.84:8686/rtp/239.253.92.131:6113
CCTV兵器科技,http://123.174.106.11:8888/udp/239.1.1.97:8097
CCTV兵器科技,http://1.70.34.15:8085/udp/239.1.1.97:8097
CCTV女性时尚,http://123.174.106.11:8888/udp/239.1.1.89:8089
CCTV女性时尚,http://1.70.34.15:8085/udp/239.1.1.89:8089
CCTV怀旧剧场,http://202.99.141.84:8686/rtp/239.253.92.98:6120
CCTV怀旧剧场,http://202.99.141.84:8686/rtp/239.253.93.252:6430
CCTV怀旧剧场高请,http://123.174.106.11:8888/udp/239.1.1.95:8095
CCTV怀旧剧场高请,http://1.70.34.15:8085/udp/239.1.1.95:8095
CCTV文化精品,http://123.174.106.11:8888/udp/239.1.1.91:8091
CCTV文化精品,http://1.70.34.15:8085/udp/239.1.1.91:8091
CCTV球,http://202.99.141.84:8686/rtp/239.253.93.231:6409
CCTV球,http://123.174.106.11:8888/udp/239.1.1.100:8100
CCTV球,http://1.70.34.15:8085/udp/239.1.1.100:8100
CCTV电视指南,http://123.174.106.11:8888/udp/239.1.1.90:8090
CCTV电视指南,http://1.70.34.15:8085/udp/239.1.1.90:8090
CCTV第一剧场,http://202.99.141.84:8686/rtp/239.253.92.18:6079
CCTV第一剧场,http://202.99.141.84:8686/rtp/239.253.93.138:6428
CCTV第一剧场,http://123.174.106.11:8888/udp/239.1.1.94:8094
CCTV第一剧场,http://1.70.34.15:8085/udp/239.1.1.94:8094
CCTV购物,http://180.158.201.25:2048/udp/239.45.3.79:5140
